cowid,parity,calving_date,enrolled,GovID,calendardate,animalid,lyingtime,standingtime,rumination,notruminating,inactivity,activity,highactivity,lie_stand,ruminate_nonruminat,active_nonactive,expday
704,2,03/06/2022,1,UK344097107374,24/06/2022,UK344097107374,6.8833333333,17.116666667,7.8333333333,16.166666667,4.9333333333,12.016666667,7.05,24,24,16.95,21
705,2,29/04/2022,1,UK344097107409,20/05/2022,UK344097107409,15.483333333,8.5166666667,5.8833333333,18.116666667,11.8,11.916666667,0.2833333333,24,24,23.716666667,21
730,3,02/06/2022,1,UK344097306858,23/06/2022,UK344097306858,11.8,12.2,5.85,18.15,7.35,10.2,6.45,24,24,17.55,21
750,2,12/05/2022,1,UK344097307397,02/06/2022,UK344097307397,12.233333333,11.766666667,8.8833333333,15.116666667,6.2333333333,17.216666667,0.55,24,24,23.45,21
758,4,27/06/2022,1,UK344097405669,18/07/2022,UK344097405669,7.9333333333,10.066666667,11.916666667,6.0833333333,1.7666666667,16.233333333,0,18,18,18,21
776,2,07/06/2022,1,UK344097607687,28/06/2022,UK344097607687,14.766666667,9.2333333333,9.7333333333,14.266666667,6.3833333333,17.616666667,0,24,24,24,21
782,2,02/05/2022,1,UK344097107367,23/05/2022,UK344097107367,12.083333333,11.916666667,10.516666667,13.483333333,5.8833333333,14.95,3.1833333333,24,24,20.833333333,21
791,2,05/06/2022,1,UK344097507511,26/06/2022,UK344097507511,12.5,11.5,12.366666667,11.633333333,5.1333333333,18.75,0.1333333333,24,24,23.883333333,21
820,3,16/05/2022,1,UK344097206332,06/06/2022,UK344097206332,10.35,13.65,11.816666667,12.183333333,7.1833333333,16.566666667,0.25,24,24,23.75,21
822,2,01/07/2022,1,UK344097707695,22/07/2022,UK344097707695,15.266666667,8.7333333333,12.466666667,11.533333333,6,15.75,2.25,24,24,21.75,21
871,1,09/06/2022,1,UK344097408175,30/06/2022,UK344097408175,13.566666667,10.433333333,13.35,10.65,5.5166666667,18.166666667,0.3166666667,24,24,23.683333333,21
882,1,28/06/2022,1,UK344097508218,19/07/2022,UK344097508218,8.15,15.85,10.75,13.25,1.6166666667,19.516666667,2.8666666667,24,24,21.133333333,21
913,1,01/06/2022,1,UK344097408168,22/06/2022,UK344097408168,8.4333333333,15.566666667,10.766666667,13.233333333,5.1333333333,16.3,2.5666666667,24,24,21.433333333,21
919,2,24/05/2022,1,UK344097307656,14/06/2022,UK344097307656,13.15,10.85,9.15,14.85,6.2666666667,17.366666667,0.3666666667,24,24,23.633333333,21
931,2,12/06/2022,1,UK344097107542,03/07/2022,UK344097107542,13.383333333,10.616666667,11.883333333,12.116666667,4.9333333333,18.683333333,0.3833333333,24,24,23.616666667,21
952,3,18/05/2022,1,UK344097206787,08/06/2022,UK344097206787,12.433333333,11.566666667,10.316666667,13.683333333,4.9,18.883333333,0.2166666667,24,24,23.783333333,21
957,1,10/06/2022,1,UK344097208285,01/07/2022,UK344097208285,15.333333333,8.6666666667,13.216666667,10.783333333,7.15,16.433333333,0.4166666667,24,24,23.583333333,21
962,2,17/05/2022,1,UK344097607596,07/06/2022,UK344097607596,7.7,16.3,10.783333333,13.216666667,3.65,18.316666667,2.0333333333,24,24,21.966666667,21
969,3,05/06/2022,1,UK344097306746,26/06/2022,UK344097306746,12.216666667,11.783333333,10.033333333,13.966666667,6.1,15.533333333,2.3666666667,24,24,21.633333333,21
977,2,13/06/2022,1,UK344097607491,04/07/2022,UK344097607491,8.45,15.55,6.2333333333,17.766666667,4.45,15.316666667,4.2333333333,24,24,19.766666667,21
990,3,15/06/2022,1,UK344097406705,06/07/2022,UK344097406705,10.25,13.75,9.8833333333,14.116666667,5.2166666667,17.3,1.4833333333,24,24,22.516666667,21
1794,3,27/06/2022,1,UK344097406824,18/07/2022,UK344097406824,12.433333333,5.5666666667,7.1,10.9,7.6666666667,10.333333333,0,18,18,18,21
6975,4,14/05/2022,1,DE001501116975,04/06/2022,DE001501116975,9.8333333333,14.166666667,6.75,17.25,6.6,13.05,4.35,24,24,19.65,21
7194,2,27/05/2022,1,UK344097307194,17/06/2022,UK344097307194,12.316666667,11.683333333,11.733333333,12.266666667,5.6333333333,18.3,0.0666666667,24,24,23.933333333,21
8262,4,03/07/2022,1,DE001267448262,24/07/2022,DE001267448262,9.75,14.25,12.383333333,11.616666667,4.6333333333,19.066666667,0.3166666667,24,24,23.7,21
8266,4,26/05/2022,1,DE001267448266,16/06/2022,DE001267448266,14.033333333,9.9666666667,8.4833333333,15.516666667,6.3666666667,16.383333333,1.25,24,24,22.75,21
8277,1,27/05/2022,1,UK344097108277,17/06/2022,UK344097108277,13.483333333,10.516666667,10.6,13.4,4.9,18.55,0.55,24,24,23.45,21
11,4,04/07/2022,1,UK344097506083,26/07/2022,UK344097506083,9.2166666667,11.783333333,6.7333333333,14.266666667,4.7166666667,13.383333333,2.9,21,21,18.1,22
40,2,04/07/2022,1,UK344097407685,26/07/2022,UK344097407685,11.6,9.4,10.716666667,10.283333333,4.4,16.433333333,0.1666666667,21,21,20.833333333,22
50,2,04/06/2022,1,UK344097307516,26/06/2022,UK344097307516,7.6,16.4,9.65,14.35,4.45,15.5,4.05,24,24,19.95,22
70,2,23/05/2022,1,UK344097207641,14/06/2022,UK344097207641,10.333333333,13.666666667,9.5833333333,14.416666667,4.8,18.25,0.95,24,24,23.05,22
81,4,24/06/2022,1,UK344097205940,16/07/2022,UK344097205940,16.316666667,7.6833333333,9.6333333333,14.366666667,8.0666666667,15.35,0.5833333333,24,24,23.416666667,22
88,1,15/06/2022,1,UK344097608471,07/07/2022,UK344097608471,14.75,9.25,12.8,11.2,6.3666666667,17.383333333,0.25,24,24,23.75,22
93,1,20/05/2022,1,UK344097708451,11/06/2022,UK344097708451,14.233333333,9.7666666667,9.7333333333,14.266666667,7.0666666667,16.783333333,0.15,24,24,23.85,22
107,2,10/05/2022,1,UK344097707177,01/06/2022,UK344097707177,11.45,12.55,10.65,13.35,4.8,18.183333333,1.0166666667,24,24,22.983333333,22
111,1,05/06/2022,1,UK344097608485,27/06/2022,UK344097608485,11.5,12.5,9.6333333333,14.366666667,4.85,18.2,0.95,24,24,23.05,22
129,1,23/06/2022,1,UK344097108354,15/07/2022,UK344097108354,11.816666667,12.183333333,11.266666667,12.733333333,4,19.516666667,0.4833333333,24,24,23.516666667,22
131,1,10/06/2022,1,UK344097408315,02/07/2022,UK344097408315,6.8666666667,17.133333333,10.766666667,13.233333333,4.65,19.25,0.1,24,24,23.9,22
136,1,19/06/2022,1,UK344097708248,11/07/2022,UK344097708248,8.75,15.25,9.85,14.15,3.25,19.7,1.05,24,24,22.95,22
140,3,14/05/2022,1,UK344097606553,05/06/2022,UK344097606553,17.516666667,6.4833333333,8.1,15.9,12.883333333,11.1,0.0166666667,24,24,23.983333333,22
