cowID,expday,exp_date,calving_date,est_calving_date,milksampling_date,my,faty,cpy,fatp,cpp,scc,sampling_date,milk_bhb,milk_cort,milk_crp,milk_hap,milk_sp,diagnosis_date,cm,da,v_temp,bcs,dys,lameness,ms_date,metriscore,pvd,animal,lie,stand,ruminate,inactive,active,highActive
86,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,IE341125141092 92,760,680,497,581,855,4
92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
